"length","sau","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
162,"8",5,3,5,7,9,0,0,0,0,0,0,31,1,21,0,9,7,8,24,53,0,0,0,0,0,0,0,0,0,0,5
164,"8",6,4,1,7,5,0,0,0,0,0,0,35,0,38,0,7,7,8,21,46,0,0,0,0,0,0,0,0,0,0,20
166,"8",4,7,2,15,6,0,0,0,0,0,0,18,1,30,0,3,9,5,21,42,0,0,0,0,0,0,0,0,0,0,6
168,"8",5,4,0,7,2,0,0,0,0,0,0,19,0,20,0,9,6,4,15,39,0,0,0,0,0,0,0,0,0,0,8
170,"8",2,6,0,11,3,0,0,0,0,0,0,24,0,36,0,3,9,4,10,29,0,0,0,0,0,0,0,0,0,0,6
172,"8",3,3,0,4,4,0,0,0,0,0,0,13,0,21,0,5,8,0,13,26,0,0,0,0,0,0,0,0,0,0,5
174,"8",0,3,0,5,2,0,0,0,0,0,0,18,0,17,0,2,6,1,4,13,0,0,0,0,0,0,0,0,0,0,3
176,"8",1,6,0,9,2,0,0,0,0,0,0,11,0,17,0,3,3,1,14,13,0,0,0,0,0,0,0,0,0,0,3
178,"8",2,1,0,5,0,0,0,0,0,0,0,14,0,10,0,1,3,0,4,15,0,0,0,0,0,0,0,0,0,0,1
180,"8",0,1,0,2,0,0,0,0,0,0,0,4,0,12,0,0,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0
182,"8",1,1,0,2,0,0,0,0,0,0,0,4,0,5,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,1
184,"8",0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
186,"8",0,2,0,3,0,0,0,0,0,0,0,1,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
188,"8",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
190,"8",0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,"8",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
194,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"9",0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,10,2,9,17,4,0,2,0,0,0,0,0,1
138,"9",3,1,4,2,1,0,0,0,0,0,0,6,3,8,2,0,0,0,37,11,7,28,15,0,10,0,0,0,0,0,0
140,"9",7,1,39,25,21,12,0,0,0,0,0,18,18,75,13,18,9,3,154,30,35,57,35,18,27,5,0,0,0,0,1
142,"9",3,3,20,27,22,14,0,0,0,0,0,30,57,107,27,48,27,10,254,49,53,87,52,30,77,21,0,0,0,0,3
144,"9",9,4,25,24,17,20,0,0,0,0,0,38,63,124,50,60,49,8,303,72,70,120,69,40,151,46,0,0,0,0,16
146,"9",16,9,27,43,36,17,0,0,0,0,0,53,66,156,55,88,42,16,323,89,87,147,88,57,152,49,0,0,0,0,42
148,"9",9,7,24,17,28,11,0,0,0,0,0,56,82,149,45,71,54,18,353,96,83,163,105,64,181,65,0,0,0,0,42
150,"9",18,10,34,30,44,26,0,0,0,0,0,74,85,171,44,95,67,14,383,122,86,143,94,67,229,99,0,0,0,0,45
152,"9",8,8,15,17,22,14,0,0,0,0,0,71,94,162,56,90,65,14,387,139,84,139,118,61,197,98,0,0,0,0,44
154,"9",12,6,14,19,21,12,0,0,0,0,0,86,92,190,65,104,88,16,384,101,85,137,91,74,200,113,0,0,0,0,34
156,"9",22,5,23,20,45,21,0,0,0,0,0,87,98,186,63,120,91,14,409,99,58,162,104,48,186,156,0,0,0,0,38
158,"9",14,7,12,17,24,10,0,0,0,0,0,95,95,164,81,87,82,17,337,138,73,112,92,70,174,153,0,0,0,0,15
160,"9",25,6,16,16,35,11,0,0,0,0,0,100,87,144,57,118,73,10,331,118,38,109,105,46,162,163,0,0,0,0,17
162,"9",12,5,10,12,19,5,0,0,0,0,0,86,125,99,57,102,93,17,278,108,48,100,77,35,154,135,0,0,0,0,6
164,"9",11,3,8,6,7,6,0,0,0,0,0,80,131,127,35,77,60,10,257,106,35,68,48,33,110,113,0,0,0,0,7
166,"9",6,10,8,10,22,6,0,0,0,0,0,77,96,91,38,84,60,4,212,81,42,63,61,44,101,81,0,0,0,0,10
168,"9",10,3,3,3,6,3,0,0,0,0,0,45,92,69,24,63,56,9,183,78,28,48,38,31,80,92,0,0,0,0,6
170,"9",3,3,6,3,6,5,0,0,0,0,0,57,58,55,26,46,58,5,135,62,18,43,28,25,62,65,0,0,0,0,10
172,"9",5,2,1,3,10,0,0,0,0,0,0,27,62,30,12,34,66,6,103,42,13,38,29,12,42,39,0,0,0,0,7
174,"9",4,2,2,2,0,1,0,0,0,0,0,28,51,33,9,26,32,1,71,42,13,26,14,13,31,32,0,0,0,0,1
176,"9",2,1,3,3,8,4,0,0,0,0,0,15,59,20,16,22,24,1,48,23,8,15,11,6,22,24,0,0,0,0,2
178,"9",1,1,0,1,1,0,0,0,0,0,0,14,37,22,3,16,20,3,36,34,4,19,10,8,12,21,0,0,0,0,3
180,"9",0,1,2,0,2,1,0,0,0,0,0,11,23,13,8,17,13,1,22,21,7,17,4,4,12,9,0,0,0,0,2
182,"9",0,0,0,0,2,0,0,0,0,0,0,4,12,2,4,5,19,1,20,9,2,11,2,6,6,6,0,0,0,0,1
184,"9",0,0,0,0,1,1,0,0,0,0,0,5,10,5,2,7,8,1,10,10,0,8,2,5,3,3,0,0,0,0,1
186,"9",0,1,1,0,0,0,0,0,0,0,0,4,7,0,2,2,5,1,5,5,1,4,0,0,3,6,0,0,0,0,0
188,"9",0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,3,6,0,5,7,1,3,1,1,3,0,0,0,0,0,0
190,"9",0,1,0,0,0,0,0,0,0,0,0,1,5,2,0,1,1,0,1,2,4,3,0,0,1,1,0,0,0,0,0
192,"9",0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,3,1,0,0,0,1,3,0,0,0,0,0
194,"9",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0
196,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0
198,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
200,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
210,"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,0,0,0,0,0,0,0,0,0
138,"10",1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,3,6,10,3,3,0,0,0,0,0,0,0
140,"10",6,0,5,2,0,0,0,0,0,0,0,0,8,2,2,5,2,0,15,11,7,47,14,11,14,0,0,0,0,0,0
142,"10",7,0,3,5,0,0,0,0,0,0,0,2,21,1,0,19,8,5,33,13,17,68,24,27,43,0,0,0,0,0,0
144,"10",3,0,5,5,0,0,0,0,0,0,0,2,22,7,1,12,13,8,40,13,25,86,31,42,51,0,0,0,0,0,6
146,"10",5,0,9,7,0,0,0,0,0,0,0,6,29,6,1,16,12,12,47,14,41,90,28,44,64,0,0,0,0,0,22
148,"10",5,0,3,3,0,0,0,0,0,0,0,6,29,7,2,15,15,9,61,18,37,109,47,47,91,0,0,0,0,0,41
150,"10",10,0,15,13,0,0,0,0,0,0,0,1,23,9,3,21,17,19,66,24,31,81,38,39,86,0,0,0,0,0,46
